"Year","Total_Revenue","NPR","Scope"
"2017",2334494311.78088,1973600513.67458,"All HS"
"2017",5994841760.50521,5008022853.53438,"HMA"
"2017",7298668087.29583,6225868060.96058,"NPR Top 100"
"2017",7268027809.2038,6204184614.81245,"NPR Top 100 VA"
"2017",8415814733.46769,7080300912.79112,"HMA in NPR Top 100"
"2018",2548575836.75992,2174796349.46379,"All HS"
"2018",6523223234.66675,5487079462.86782,"HMA"
"2018",8062159276.18011,6929332729.90469,"NPR Top 100"
"2018",8015763889.76488,6892816328.99784,"NPR Top 100 VA"
"2018",9178303171.38095,7764514688.39423,"HMA in NPR Top 100"
